id,year,parent
Origin,,
7,1974,Origin
4,1975,Origin
12,1976,Origin
10,1977,Origin
3,1978,Origin
2,1979,Origin
6,1980,Origin
7,1981,Origin
3,1982,Origin
5,1983,Origin
10,1984,Origin
2,1985,Origin
9,1986,Origin
1,1987,Origin
6,1988,Origin
7,1989,Origin
8,1990,Origin
5,1991,Origin
3,1992,Origin
4,1993,Origin
6,1994,Origin
6,1995,Origin
5,1996,Origin
3,1997,Origin
9,1998,Origin
7,1999,Origin
4,2000,Origin
5,2001,Origin
8,2002,Origin
9,2003,Origin
6,2004,Origin
5,2006,Origin
8,2007,Origin
9,2008,Origin
5,2009,Origin
6,2010,Origin
4,2011,Origin
2,2012,Origin
1,2013,Origin
