name,parent,value
Origin,,
1974,Origin,7
1975,Origin,4
1976,Origin,12
1977,Origin,10
1978,Origin,3
1979,Origin,2
1980,Origin,6
1981,Origin,7
1982,Origin,3
1983,Origin,5
1984,Origin,10
1985,Origin,2
1986,Origin,9
1987,Origin,1
1988,Origin,6
1989,Origin,7
1990,Origin,8
1991,Origin,5
1992,Origin,3
1993,Origin,4
1994,Origin,6
1995,Origin,6
1996,Origin,5
1997,Origin,3
1998,Origin,9
1999,Origin,7
2000,Origin,4
2001,Origin,5
2002,Origin,8
2003,Origin,9
2004,Origin,6
2006,Origin,5
2007,Origin,8
2008,Origin,9
2009,Origin,5
2010,Origin,6
2011,Origin,4
2012,Origin,2
2013,Origin,1


