rank,name,net_worth,bday,age,nationality
1,Elon Musk,240,28/jun/71,51,South Africa
2,Jeff Bezos,150,12/jan/64,58,United States of America
3,Gautam Adani,138,24/jun/62,60,India
4,Bernard Arnault,135,05/mar/49,73,France
5,Bill Gates,118,28-Oct-55,66,United States of America
6,Warren Buffett,101,30-Aug-30,92,United States of America
7,Larry Page,100,26/mar/73,49,United States of America
8,Sergey Brin,96,21-Aug-73,48,United States of America
9,Steve Ballmer,94,24/mar/56,66,United States of America
10,Larry Ellison,93,17-Aug-44,78,United States of America
11,Alain & Gerard Wertheimer,90,,,France
12,Mukesh Ambani,89,19-Apr-57,65,India
13,Carlos Slim Helu,72,28/jan/40,82,Mexico
14,Vladimir Putin,70,7-Oct-52,69,Russia
15,Françoise Bettencourt-Meyers,70,10/jul/53,69,France
16,Amancio Ortega Gaona,70,28/mar/36,86,Spain
17,Michael Bloomberg,70,14-Feb-42,80,United States of America
18,Mark Zuckerberg,70,14-May-84,38,United States of America
19,Rob Walton,68,28-Oct-44,77,United States of America
20,Jim Walton,68,07/jun/48,74,United States of America
21,Zhong Shanshan,68,,,China
22,Alice Walton,66,7-Oct-49,72,United States of America
23,Julia Flesher Koch,62,12-Apr-62,60,United States of America
24,Charles Koch,60,01/nov/35,86,United States of America
25,Michael Dell,52,23-Feb-65,57,United States of America
26,Francois Pinault,50,21-Aug-36,86,France
27,David Thomson,50,12/jun/57,65,Canada
28,Ma Huateng,48,29-Oct-71,50,China
29,Alain Wertheimer,45,28-Sep-48,73,France
30,Gerard Wertheimer,45,17-Apr-51,71,French
31,Zhang Yiming,44,1-Apr-83,39,China
32,Tadashi Yanai,42,7-Feb-49,73,Japan
33,John Mars,42,15-Oct-35,86,United States of America
34,Jacqueline Mars,42,10-Oct-39,82,United States of America
35,Phil Knight,40,24-Feb-38,84,United States of America
36,Vladimir Potanin,35,03/jan/61,61,Russia
37,Stephen Schwarzman,35,14-Feb-47,75,United States of America
38,Jack Ma,34,15-Oct-64,57,China
39,Miriam Adelson,34,10-Oct-45,76,American, Israeli
40,Colin Huang,33,01/jan/80,42,China
41,Lee Shau Kee,33,29/jan/28,94,China
42,Len Blavatnik,32,14/jun/57,65,United Kingdom
43,Li Ka-shing,31,29/jul/28,94,Canada
44,Gina Rinehart,31,9-Feb-54,68,Australia
45,Sheikh Mansour bin Zayed Al Nahyan,30,20/nov/70,51,Emirati
46,Masayoshi Son,30,11-Aug-57,65,Japan
47,Sultan of Brunei,30,15/jul/46,76,Brunei
48,Maha Vajiralongkorn,30,28/jul/52,70,Thailand
49,Giovanni Ferrero,28,21-Sep-64,57,Italy
50,Ken Griffin,28,15-Oct-68,53,United States of America
51,Abigail Johnson,28,19-Dec-61,60,United States of America
52,He Xiangjian,27,5-Oct-42,79,China
53,Dieter Schwarz,27,24-Sep-39,82,Germany
54,William Ding,26,1-Oct-71,50,China
55,Shiv Nadar,25,9,14/jul/45,77,India
56,Stefan Persson,25,4-Oct-47,74,Sweden
57,Joseph Safra,25,1-Sep-38,,Brazil
58,Eric Yuan,25,20-Feb-70,52,China
59,Carl Icahn,24,16-Feb-36,86,United States of America
60,Takemitsu Takizaki,24,10/jun/45,77,Japan
61,Pierre Omidyar,24,21/jun/67,55,United States of America
62,Forrest Mars Jr,23,4,16-Aug-31,91,United States of America
63,Jorge Paulo Lemann,23,26-Aug-39,83,Brazil
64,Eric Schmidt,23,27-Apr-55,67,United States of America
65,Satoshi Nakamoto,22,5-Apr-75,73,Japan
66,Qin Yinglin,22,,57,China
67,James Simons,22,25-Apr-38,84,United States of America
68,Wang Wei,22,,51,China
69,James Dyson,22,2-May-47,75,United Kingdom
70,Aliko Dangote,21,10-Apr-57,65,Nigeria
71,Leonard Lauder,21,19/mar/33,89,United States of America
72,Andrey Melnichenko,21,08/mar/72,50,Russia
73,Sir Evelyn De Rothschild,20,29-Aug-31,90,England
74,Salman bin Abdulaziz Al Saud,20,31-Dec-35,86,Saudi Arabia
75,Alexey Mordashov,20,26-Sep-65,56,Russia
76,John Menard,20,22/jan/40,82,United States of America
77,Elaine Marshall,20,18/nov/45,76,United States of America
78,Rupert Murdoch,20,11/mar/31,91,Australia
79,Dan Gilbert,20,17/jan/62,60,United States of America
80,Leonid Mikhelson,20,11-Aug-55,67,Russia
81,Pallonji Mistry,19,01/jun/29,,India
82,Susanne Klatten,19,28-Apr-62,60,Germany
83,Eduardo Saverin,19,19/mar/82,40,Brazil
84,Vladimir Lisin,19,7-May-56,66,Russia
85,James Ratcliffe,19,18-Oct-52,69,United Kingdom
86,Laurene Powell Jobs,19,06/nov/63,58,United States of America
87,Lakshmi Mittal,18,2-Sep-50,71,India
88,David & Simon Reuben,18,,,United Kingdom
89,Sheikh Khalifa Bin Zayed Al Nahyan,18,25/jan/48,74,United Arab Emirates
90,Alisher Usmanov,18,9-Sep-53,68,Russia
91,Lukas Walton,18,,36,United States of America
92,Serge Dassault,17,3,4-Apr-25,97,France
93,Pavel Durov,17,10-Oct-84,37,Russia
94,Donald Bren,17,11-May-32,90,United States of America
95,Thomas Peterffy,17,30-Sep-44,77,United States of America
96,Prince Al Waleed Bin Talal Alsaud,17,07/mar/55,67,Saudi Arabia
97,Harold Hamm,17,11-Dec-45,76,United States of America
98,Viktor Vekselberg,17,14-Apr-57,65,Russia
99,Steven Cohen,16,11/jun/56,66,United States of America
100,Stefan Quandt,16,9-May-66,56,Germany
